longitude,latitude,YR,MO,X,Y,TOT,CR
-73.88475934,40.84399359,2014,2,1016135,246788,1,FELONY ASSAULT
-73.83018098,40.88197323,2014,2,1031209,260650,1,FELONY ASSAULT
-73.85235045,40.83413059,2014,2,1025108,243208,1,FELONY ASSAULT
-73.95823415,40.73377949,2014,2,995825,206615,1,FELONY ASSAULT
-73.94235888,40.70741472,2014,2,1000231,197012,1,ROBBERY
-73.96329363,40.71946457,2014,2,994425,201399,1,FELONY ASSAULT
-73.90336325,40.63907658,2014,1,1011070,172124,1,ROBBERY
-73.93735349,40.70642399,2014,2,1001619,196652,1,RAPE
-73.9986243,40.60483199,2014,2,984632,159633,1,ROBBERY
-73.95995315,40.64730065,2014,2,995363,175108,1,RAPE
-73.98503668,40.68460269,2014,2,988400,188696,1,ROBBERY
-73.93209801,40.61826418,2014,2,1003101,164534,1,ROBBERY
-73.86070069,40.88124833,2014,1,1022770,260371,1,ROBBERY
-73.94857475,40.80863286,2014,2,998486,233888,1,FELONY ASSAULT
-73.9832678,40.77930196,2014,2,988884,223198,1,FELONY ASSAULT
-73.95298687,40.67872299,2014,1,997290,186557,1,ROBBERY
-73.92932698,40.85741269,2014,2,1003800,251664,1,FELONY ASSAULT
-73.99598826,40.72265976,2014,2,985362,202561,2,ROBBERY
-73.94501271,40.78710706,2014,2,999477,226046,1,ROBBERY
-73.94714487,40.67594548,2014,1,998911,185546,1,FELONY ASSAULT
-73.94826252,40.81065284,2014,2,998572,234624,1,FELONY ASSAULT
-73.7768804,40.78375049,2014,2,1046039,224897,1,FELONY ASSAULT
-73.74312719,40.69607285,2014,2,1055480,192979,1,ROBBERY
-73.90148435,40.874489,2014,2,1011495,257893,1,ROBBERY
-73.72104948,40.74266613,2014,6,1061548,209973,1,ROBBERY
-74.13823085,40.63172746,2014,1,945882,169462,1,ROBBERY
-73.88417289,40.85283371,2014,2,1016293,250009,1,FELONY ASSAULT
-73.89924889,40.86070869,2014,2,1012119,252873,1,FELONY ASSAULT
-73.87802582,40.87561387,2014,2,1017982,258311,1,ROBBERY
-73.92093774,40.81691726,2014,2,1006134,236912,1,ROBBERY
-73.89794546,40.85963985,2014,2,1012480,252484,2,FELONY ASSAULT
-73.89939158,40.86914876,2014,2,1012076,255948,1,ROBBERY
-73.82531505,40.76297678,2014,1,1032641,217298,1,ROBBERY
-73.93010467,40.81224892,2014,2,1003598,235209,3,FELONY ASSAULT
-73.93744249,40.59237554,2014,2,1001624,155101,1,FELONY ASSAULT
-73.96949929,40.59170781,2014,2,992721,154853,1,FELONY ASSAULT
-73.94530761,40.68307555,2014,2,999419,188144,1,FELONY ASSAULT
-73.77248727,40.66919186,2014,1,1047364,183163,1,ROBBERY
-73.95890197,40.58121388,2014,2,995666,151031,1,ROBBERY
-73.87189999,40.67872167,2014,2,1019781,186579,1,ROBBERY
-73.95444228,40.64870393,2014,2,996892,175620,1,ROBBERY
-73.94849527,40.6499201,2014,2,998542,176064,1,FELONY ASSAULT
-73.99839745,40.60331137,2014,2,984695,159079,1,FELONY ASSAULT
-73.95326477,40.69888618,2014,2,997209,193903,1,FELONY ASSAULT
-73.98127699,40.59126293,2014,2,989450,154690,1,ROBBERY
-73.92209921,40.67960925,2014,2,1005857,186886,1,ROBBERY
-73.95093905,40.8257582,2014,1,997828,240127,1,FELONY ASSAULT
-73.94078429,40.81929511,2014,2,1000640,237774,1,FELONY ASSAULT
-73.99689017,40.72288486,2014,2,985112,202643,3,ROBBERY
-73.93506523,40.80058674,2014,2,1002228,230959,2,FELONY ASSAULT
-73.93419712,40.80185432,2014,2,1002468,231421,1,FELONY ASSAULT
-73.87014855,40.87831429,2014,1,1020159,259298,1,FELONY ASSAULT
-73.76250846,40.59953892,2014,2,1050201,157794,1,FELONY ASSAULT
-73.87656201,40.87915022,2014,2,1018385,259600,1,FELONY ASSAULT
-73.84444908,40.87816174,2014,2,1027266,259254,1,FELONY ASSAULT
-73.92524055,40.81371979,2014,2,1004944,235746,1,ROBBERY
-73.94919684,40.66091601,2014,2,998345,180070,1,FELONY ASSAULT
-73.91308832,40.69982902,2014,2,1008349,194255,1,FELONY ASSAULT
-73.88346475,40.67726551,2014,2,1016574,186044,1,FELONY ASSAULT
-73.9717271,40.68752886,2014,1,992091,189763,1,ROBBERY
-73.91083575,40.77963373,2014,6,1008944,223331,1,ROBBERY
-74.11719928,40.63456698,2014,1,951721,170488,1,FELONY ASSAULT
-73.90686115,40.66286027,2014,2,1010090,180788,1,FELONY ASSAULT
-73.9457732,40.64702036,2014,2,999298,175008,1,FELONY ASSAULT
-73.94247337,40.68340354,2014,2,1000205,188264,1,FELONY ASSAULT
-73.98240989,40.69178813,2014,2,989128,191314,1,ROBBERY
